,word,similarity,source_word
4266,ddob,0.5563721656799316,#
4260,6699FF,0.6014052629470825,#
4261,l4l,0.5822553038597107,#
4262,Rq,0.5814890265464783,#
4263,vscocam,0.5719807147979736,#
4264,xA0,0.571323573589325,#
4265,ccf,0.5587977766990662,#
4267,polishboy,0.5477400422096252,#
4268,41,0.5464696884155273,#
4600,6699FF,0.6014052629470825,#
4269,39,0.5439808964729309,#
4602,Rq,0.5814890265464783,#
4603,vscocam,0.5719807147979736,#
4604,xA0,0.571323573589325,#
4605,ccf,0.5587977766990662,#
4606,ddob,0.5563721656799316,#
4607,polishboy,0.5477400422096252,#
4608,41,0.5464696884155273,#
4609,39,0.5439808964729309,#
4601,l4l,0.5822553038597107,#
3784,tvp2,0.5843617916107178,4funtv
3783,mtv,0.6235932111740112,4funtv
3785,vivie,0.5733156800270081,4funtv
3780,4fun.tv,0.7011881470680237,4funtv
3787,Mtv,0.5648861527442932,4funtv
3788,4FUN.TV,0.5628637671470642,4funtv
3782,4fun.tv.,0.6618615984916687,4funtv
3786,vh1,0.565121054649353,4funtv
3781,4fun,0.6753782033920288,4funtv
3789,RTL7,0.5580904483795166,4funtv
5051,ciocia,0.7585758566856384,Babcia
5057,prababcia,0.6976222395896912,Babcia
5056,ciotka,0.7134552597999573,Babcia
5055,Ciocia,0.7264418005943298,Babcia
5054,mama,0.7439575791358948,Babcia
5053,Prababcia,0.7509241104125977,Babcia
5052,Mama,0.7573626041412354,Babcia
5050,babcia,0.8674087524414062,Babcia
5058,Mamusia,0.6737021803855896,Babcia
5059,Dziadek,0.6584334373474121,Babcia
5147,Sunderlandu,0.6196896433830261,Celtiku
5146,Evertonu,0.6205259561538696,Celtiku
5145,Arsenalu,0.6227748990058899,Celtiku
5144,Tottenhamu,0.6426777243614197,Celtiku
5143,Celticem,0.6432399153709412,Celtiku
5142,Celtikiem,0.6650121212005615,Celtiku
5141,Celtikowi,0.6662573218345642,Celtiku
5140,Celticu,0.7754985690116882,Celtiku
5148,Celticowi,0.6093428730964661,Celtiku
5149,Southamptonu,0.6088845133781433,Celtiku
3021,Czasie,0.5757282376289368,Czasu
3029,Rydwanu,0.4975455105304718,Czasu
3022,Rzeczywistego,0.5745158195495605,Czasu
3020,czasu,0.5772837400436401,Czasu
3023,Straconego,0.5646364688873291,Czasu
3026,Wolnego,0.5179660320281982,Czasu
3025,Życia,0.5365110635757446,Czasu
3024,Zerowego,0.5377094745635986,Czasu
3028,Kresu,0.5027985572814941,Czasu
3027,Wehikułu,0.5150051712989807,Czasu
989,Dziadzia,0.6089219450950623,Dziadek
988,Tata,0.609382152557373,Dziadek
987,Ojciec,0.6127834916114807,Dziadek
986,wujek,0.6280996799468994,Dziadek
985,Dziadziuś,0.6297724843025208,Dziadek
983,tata,0.6374703049659729,Dziadek
982,pradziadek,0.6399322748184204,Dziadek
981,Babcia,0.6584335565567017,Dziadek
980,dziadek,0.8030391931533813,Dziadek
984,ojciec,0.6302533745765686,Dziadek
1950,Ejj,0.72981858253479,Ej
1954,no,0.6692574620246887,Ej
1951,Oj,0.712855339050293,Ej
1952,-Ej,0.705344021320343,Ej
1953,No,0.690918505191803,Ej
1955,Bo,0.6688573956489563,Ej
1957,-Oj,0.6578912734985352,Ej
1958,Eh,0.6568120718002319,Ej
1959,Hm,0.656225860118866,Ej
1956,ejj,0.6643769145011902,Ej
4612,pracyGdzie,0.672691285610199,"Internecie,\nGdzie"
4613,21Gdzie,0.6698258519172668,"Internecie,\nGdzie"
4614,10Gdzie,0.6654608845710754,"Internecie,\nGdzie"
4615,16Gdzie,0.6628470420837402,"Internecie,\nGdzie"
4616,spółkiGdzie,0.6627253890037537,"Internecie,\nGdzie"
4617,HoteliGdzie,0.656066358089447,"Internecie,\nGdzie"
4618,artykułGdzie,0.6540265083312988,"Internecie,\nGdzie"
